X,Y,Z
90,91,-135
90,90,-138
91,88,-136
93,89,-136
98,87,-138
97,87,-135
98,88,-134
98,87,-133
97,88,-135
95,89,-135
92,91,-133
84,134,-71
68,152,-22
40,144,75
28,124,110
59,76,159
93,60,156
160,44,120
177,37,99
213,-16,61
215,-85,9
202,-122,-7
159,-172,16
138,-174,65
93,-130,154
78,-87,178
68,8,188
81,108,125
91,136,69
117,130,-42
119,113,-87
116,53,-153
116,24,-170
105,-34,-186
90,-57,-192
85,-71,-189
104,-121,-169
117,-144,-146
162,-178,-25
181,-150,47
206,-59,83
212,-41,68
214,-98,-13
145,-110,-145
95,-82,-185
15,-25,-200
-8,-29,-199
-9,-102,-187
14,-163,-155
-9,-225,-66
-79,-194,-65
-106,-147,-105
-81,14,-160
-39,104,-117
0,149,-4
11,152,2
46,147,-13
55,146,-21
78,134,-40
115,126,-5
122,119,27
98,101,102
82,96,122
83,91,127
106,87,117
169,36,94
189,-28,83
192,-68,78
167,-137,64
149,-160,57
84,-214,-25
65,-193,-104
108,-28,-177
124,45,-142
111,117,-61
56,144,-7
50,149,1
45,139,56
50,130,79
113,28,148
140,-48,141
165,-145,34
186,-123,-23
198,-101,-23
207,-82,-11
200,-101,-6
187,-119,-50
185,-94,-87
173,-17,-125
159,29,-124
128,94,-102
118,114,-80
120,110,-85
134,97,-87
135,103,-76
112,129,-41
105,135,-33
136,109,59
139,-12,143
133,-51,148
130,-104,129
113,-132,120
106,-139,117
146,-126,90
202,-82,20
214,-49,-9
191,66,-47
118,122,-89
69,136,-104
-5,104,-150
-18,71,-168
8,21,-196
9,-12,-200
34,-13,-198
91,-18,-189
146,-18,-157
209,22,-53
209,40,-14
192,73,21
177,90,42
152,106,64
145,114,60
114,124,83
72,106,135
58,82,160
67,-5,195
105,-42,182
187,-58,102
216,-28,31
173,67,-85
122,90,-121
14,105,-140
-45,117,-97
-51,124,-80
-34,130,-81
-28,126,-87
-16,128,-90
-9,131,-87
-7,142,-61
60,143,72
105,106,116
134,15,162
160,-23,144
152,-87,136
142,-82,144
117,-58,161
118,-68,156
96,-72,163
31,-63,183
-19,-57,182
-114,-24,139
-149,7,87
-118,92,-45
-68,118,-70
33,132,-97
134,108,-84
188,56,-72
219,-50,-42
221,-70,-19
208,-101,-5
208,-102,10
204,-89,51
195,-93,68
159,-114,111
118,-120,137
106,-122,139
77,-108,157
57,-70,176
-13,1,181
-45,30,166
-76,115,78
-33,150,-47
-22,141,-87
-12,114,-134
-8,90,-158
0,38,-188
-2,15,-195
-14,-33,-196
-9,-52,-195
29,-93,-188
77,-115,-167
97,-158,-118
122,-184,-18
140,-170,37
141,-147,87
125,-145,108
53,-152,141
-13,-154,145
-28,-158,138
-48,-166,123
-73,-157,117
-130,-116,97
-142,-95,91
-146,-47,117
-137,-30,128
-120,-23,149
-105,-15,160
-102,11,158
-47,124,110
12,162,38
96,134,-79
116,110,-98
145,69,-110
170,58,-88
170,44,-98
115,27,-156
45,5,-186
-85,-16,-152
-125,-8,-115
-160,15,-30
-163,22,-2
-155,10,77
-117,11,136
-99,9,154
-55,2,182
-40,-7,190
42,-82,189
91,-110,161
123,-177,28
94,-192,-28
48,-198,-76
23,-189,-97
28,-182,-109
24,-156,-142
28,-117,-172
8,-2,-191
-44,79,-140
-94,123,19
-59,96,127
-14,76,161
65,35,176
58,49,170
-65,107,107
-121,106,9
-45,-24,-186
19,-93,-185
70,-168,-121
85,-179,-99
94,-175,-97
172,-142,-8
164,-108,93
-6,-51,194
-63,-48,182
-119,-22,144
-139,8,115
-140,12,111
-145,13,106
-151,29,84
-166,23,48
-166,28,26
-130,42,-104
-94,25,-148
-29,-31,-193
21,-31,-197
52,-50,-194
107,-94,-163
123,-117,-141
149,-124,-108
160,-118,-99
187,-104,-56
179,-131,13
159,-143,58
100,-129,142
63,-101,174
-2,-24,191
-60,29,166
-106,81,92
-106,97,59
-99,113,22
-118,98,34
-128,89,34
-138,82,17
-137,84,8
-133,79,-52
-120,43,-110
-125,-46,-129
-131,-127,-56
-122,-148,-9
-101,-163,29
-103,-167,3
-52,-185,-60
-24,-186,-81
40,-158,-138
64,-144,-144
121,-114,-142
195,-101,-55
210,-77,25
135,-36,158
62,-24,190
-38,-45,180
-45,-59,175
-31,-60,178
-59,-25,170
-84,-10,155
-134,-5,111
-150,-6,86
-171,-14,-3
-161,-50,-65
-113,-80,-132
-112,-89,-130
-158,-43,-79
-167,1,57
-138,-13,121
-43,-64,179
14,-86,181
98,-115,140
123,-132,106
163,-132,26
169,-126,4
176,-119,9
186,-102,5
190,-91,9
190,-91,-4
