X,Y,Z
213.0,90.3783783784,-204.615384615
212.0,79.0810810811,-215.333333333
207.0,66.7567567568,-231.897435897
202.0,60.5945945946,-238.717948718
193.0,49.2972972973,-250.41025641
206.0,47.2432432432,-252.358974359
291.0,21.5675675676,-152.0
325.0,1.02702702703,-43.8461538462
262.0,-30.8108108108,189.025641026
212.0,-6.16216216216,238.717948718
117.0,89.3513513514,270.871794872
63.0,172.540540541,251.384615385
66.0,234.162162162,190.0
45.0,311.189189189,-6.82051282051
27.0,298.864864865,-98.4102564103
29.0,155.081081081,-285.487179487
33.0,66.7567567568,-321.538461538
95.0,-64.7027027027,-319.58974359
195.0,-190.0,-208.512820513
216.0,-232.108108108,-132.512820513
251.0,-226.972972973,-43.8461538462
265.0,-215.675675676,-8.76923076923
275.0,-178.702702703,82.8205128205
250.0,-149.945945946,153.948717949
134.0,-82.1621621622,280.615384615
87.0,-52.3783783784,302.051282051
-19.0,-32.8648648649,314.717948718
-113.0,-24.6486486486,294.256410256
-172.0,-47.2432432432,265.025641026
-240.0,-2.05405405405,209.487179487
-280.0,33.8918918919,152.0
-301.0,79.0810810811,79.8974358974
-306.0,90.3783783784,40.9230769231
-322.0,24.6486486486,-41.8974358974
-322.0,-25.6756756757,-45.7948717949
-314.0,-13.3513513514,-73.0769230769
-288.0,9.24324324324,-147.128205128
-266.0,0.0,-181.230769231
-153.0,-34.9189189189,-281.58974359
-79.0,-56.4864864865,-307.897435897
51.0,-117.081081081,-296.205128205
160.0,-126.324324324,-252.358974359
179.0,-116.054054054,-240.666666667
186.0,-100.648648649,-232.871794872
178.0,-95.5135135135,-241.641025641
126.0,-117.081081081,-269.897435897
98.0,-106.810810811,-283.538461538
35.0,-90.3783783784,-308.871794872
1.0,-66.7567567568,-315.692307692
21.0,64.7027027027,-311.794871795
94.0,220.810810811,-211.435897436
117.0,270.108108108,-115.948717949
91.0,301.945945946,27.2820512821
42.0,292.702702703,103.282051282
-125.0,263.945945946,114.0
-210.0,209.513513514,104.256410256
-288.0,46.2162162162,142.256410256
-313.0,-54.4324324324,89.641025641
-313.0,-104.756756757,16.5641025641
-249.0,-181.783783784,-133.487179487
-171.0,-195.135135135,-210.461538462
-25.0,-235.189189189,-242.615384615
49.0,-251.621621622,-223.128205128
113.0,-258.810810811,-188.051282051
117.0,-262.918918919,-179.282051282
120.0,-245.459459459,-196.820512821
109.0,-184.864864865,-255.282051282
118.0,-142.756756757,-275.743589744
159.0,-17.4594594595,-283.538461538
175.0,41.0810810811,-266.974358974
197.0,129.405405405,-216.307692308
198.0,180.756756757,-168.564102564
146.0,268.054054054,-34.1025641026
55.0,277.297297297,109.128205128
18.0,256.756756757,156.871794872
-34.0,211.567567568,216.307692308
-56.0,188.972972973,230.923076923
-76.0,147.891891892,261.128205128
-73.0,110.918918919,278.666666667
-130.0,8.21621621622,288.41025641
-152.0,-69.8378378378,275.743589744
-139.0,-249.567567568,180.256410256
-103.0,-336.864864865,-53.5897435897
-125.0,-316.324324324,-96.4615384615
-102.0,-323.513513514,-101.333333333
-83.0,-323.513513514,-115.948717949
-47.0,-304.0,-174.41025641
3.0,-285.513513514,-205.58974359
17.0,-236.216216216,-252.358974359
15.0,-212.594594595,-271.846153846
0.0,-172.540540541,-293.282051282
18.0,-148.918918919,-302.051282051
4.0,-147.891891892,-304.974358974
-25.0,-80.1081081081,-312.769230769
-69.0,-36.972972973,-306.923076923
-153.0,-35.9459459459,-266.974358974
-196.0,-56.4864864865,-233.846153846
-261.0,-86.2702702703,-150.051282051
-284.0,-98.5945945946,-94.5128205128
-294.0,-100.648648649,-52.6153846154
-289.0,-138.648648649,35.0769230769
-261.0,-165.351351351,102.307692308
-187.0,-168.432432432,209.487179487
